job_id,job_title,job_domain,company_name,required_skills,min_experience,min_education
J-0038,Business & Analytics Engineering Manager,Software Development,PT Biznet Gio Nusantara,"['SQL', 'Data Engineering', 'Tableau', 'Power BI', 'Excel']",> 5 Tahun,S2/S3
J-0039,SAP ABAP Developer,ERP & Enterprise,PT PRIME AGRI RESOURCES Tbk,"['Business Analysis', 'Requirements Gathering', 'SQL']",3 - 5 Tahun,S1/D4
J-0040,Project Management  Officer,Software Development,PT GEMILANG ANUGERAH SANTOSO,"['Project Management', 'Agile', 'Scrum', 'Jira']",> 5 Tahun,S1/D4
J-0041,ERP Assistant Consultant,ERP & Enterprise,PT System Ever Indonesia,"['Business Analysis', 'Requirements Gathering', 'SQL']",1 - 3 Tahun,S1/D4
J-0042,Java/Full-Stack Developer,Web Development,PT Triyakom,"['SQL', 'Java', 'TypeScript', 'React', 'Vue', 'Angular', 'Spring', 'Docker', 'Kubernetes', 'Git', 'PostgreSQL', 'API', 'LLM', 'Agile', 'Scrum']",1 - 3 Tahun,S1/D4
J-0043,OT Cybersecurity Consultant,Cyber Security,PT Yokogawa Indonesia,['Penetration Testing'],> 5 Tahun,S1/D4
J-0044,Software Engineer -  Backend,Web Development,PT Formulatrix Indonesia,"['Python', 'Java', 'R', 'Spring', 'Linux', 'TensorFlow', 'PyTorch', 'Troubleshooting']",< 1 Tahun,S1/D4
J-0045,"Microsoft Security Consultant (Defender, Intune & Entra ID SME)",Software Development,AVANADE ASIA PTE LTD,['Azure'],> 5 Tahun,Bootcamp/Sertifikasi
J-0046,Core Banking System Support Specialist,Software Development,"PT Bank Permata, Tbk","['SQL', 'Excel']",3 - 5 Tahun,S1/D4
J-0047,IT & Solution Sales Manager (MANDARIN SPEAKER),Software Development,HITHINK TECHNOLOGY INDONESIA,['Networking'],3 - 5 Tahun,S2/S3
J-0048,Microsoft Security Consultant (Presales & Delivery),Sales & Business Development,AVANADE ASIA PTE LTD,"['Go', 'Azure']",> 5 Tahun,S2/S3
J-0049,Technical Sales Representative,Software Development,PT Tempindo Jasatama (Divisi Jakarta Temp),"['B2B Sales', 'Solution Selling', 'Presentation', 'System Architecture']",1 - 3 Tahun,S1/D4
J-0050,Modern Workplace Engineer Staff,Software Development,PT Intikom Berlian Mustika,['Troubleshooting'],1 - 3 Tahun,S1/D4
J-0051,IT Audit Analyst,Software Development,PT Mandiri Tunas Finance,"['IT Support', 'Troubleshooting', 'Hardware', 'Networking']",1 - 3 Tahun,S1/D4
J-0052,Jointer (FTTH Project),Software Development,PT YPTT Solutions Indonesia,"['Networking', 'Linux', 'Troubleshooting', 'Infrastructure']",1 - 3 Tahun,SMA/SMK
J-0053,.NET DEVELOPER (ND),Software Development,PT Plexis Erakarsa Pirantiniaga (Plasmedia),"['SQL', 'JavaScript', 'HTML', '.NET', 'Oracle']",> 5 Tahun,S2/S3
J-0054,Manager R&D Pangan Internasional,Software Development,PT Dali Foods Indonesia,['R'],3 - 5 Tahun,S2/S3
J-0055,Full Stack Software Engineer (CAD Rooms Cloud PDM),Web Development,Cavalry Collective Pte. Ltd,"['TypeScript', 'Go', 'React', 'Next.js', 'Node.js', 'AWS', 'Docker', 'Kubernetes', 'Git', 'CI/CD', 'PostgreSQL', 'GraphQL', 'Unity']",1 - 3 Tahun,S2/S3
J-0056,Senior QA Automation Tester,Quality Assurance,TUNTUN SEKURITAS INDONESIA,"['Machine Learning', 'Deep Learning', 'QA']",1 - 3 Tahun,S1/D4
J-0057,Full Stack Developer,Web Development,PT. Bangkit Lakuliner Indonesia,"['AWS', 'Azure', 'GCP', 'Docker', 'Kubernetes', 'CI/CD', 'Agile', 'Scrum', 'QA']",3 - 5 Tahun,S1/D4
J-0058,Senior Game Designer,Game Development,PT Gameloft Indonesia (Yogyakarta),"['Figma', 'UI/UX', 'Unity']",3 - 5 Tahun,S1/D4
J-0059,Full Stack Developer,Web Development,PT Mitra Inti Solusindo,"['SQL', 'React', 'Angular', 'Flutter', 'React Native', 'Node.js', 'Azure', 'Oracle', 'API']",1 - 3 Tahun,Bootcamp/Sertifikasi
J-0060,Presales Consultant (Security & Application Solutions),Sales & Business Development,PT Phiraka Sinergi Indonesia,"['B2B Sales', 'Solution Selling', 'Presentation', 'System Architecture']",1 - 3 Tahun,S1/D4
J-0061,FULL STACK DEVELOPER,Web Development,Busana Apparel Group,"['SQL', 'JavaScript', 'React', 'Vue', 'Node.js']",1 - 3 Tahun,S1/D4
J-0062,Software Engineer (Back-end Engineer),Web Development,PT Lensung Technology Indonesia,"['Java', 'Go', 'Spring', 'Linux', 'Networking', 'MySQL', 'PostgreSQL', 'Troubleshooting']",Belum ada pengalaman,S1/D4
J-0063,Account Manager for Securxcess,Software Development,PT. Lintas Teknologi Indonesia,['Cyber Security'],3 - 5 Tahun,S2/S3
J-0064,ETL Pentaho Developer,Data Engineering,PT. BUSINESS ECLOUD INDONESIA INFORMATION TECHNOLOGY,"['Python', 'JavaScript', 'HTML', 'Linux', 'Networking']",1 - 3 Tahun,S1/D4
J-0065,Programmer,Software Development,PT GITA,"['SQL', 'Java', 'Kotlin', 'Angular', 'Laravel']",1 - 3 Tahun,S1/D4
J-0066,Systems Analyst — Agentic Workflows,Software Development,"PT Tera Data Indonusa, Tbk",['Oracle'],3 - 5 Tahun,S1/D4
J-0067,System Analyst,Software Development,PT. Connectied Inovasi Digital (Connectied),"['SQL', 'React', '.NET', 'Git', 'CI/CD', 'API', 'Agile', 'Scrum']",1 - 3 Tahun,S1/D4
J-0068,Solution Consultant,Software Development,PT Sahabat Sukses Solusi,"['B2B Sales', 'Solution Selling', 'Presentation', 'System Architecture']",1 - 3 Tahun,S1/D4
J-0069,SAP FICO Officer,ERP & Enterprise,PT Bakrie Sumatera Plantations Tbk,"['Business Analysis', 'Requirements Gathering', 'SQL']",1 - 3 Tahun,S1/D4
J-0070,IT Project Management Officer,Software Development,PT Multi Bangun Abadi,"['IT Support', 'Troubleshooting', 'Hardware', 'Networking']",< 1 Tahun,S1/D4
J-0071,Presales Engineer Specialist (Network & Security),Sales & Business Development,PT Nusantara Compnet Integrator,"['B2B Sales', 'Solution Selling', 'Presentation', 'System Architecture']",1 - 3 Tahun,S1/D4
J-0072,Full-Stack Data Engineer (Fleet),Web Development,PRIMA GROUP,"['Python', 'SQL', 'Node.js', 'PostgreSQL', 'API', 'Tableau', 'Spark']",1 - 3 Tahun,S1/D4
J-0073,Product Owner,Product Management,Stanford Teknologi Indonesia,"['User Research', 'Agile']",1 - 3 Tahun,S1/D4
J-0074,"Delivery  Platform Operational Manager Mandarin (Gofood,Grabfood,Shopeefood dll)",Software Development,PT. Zhisheng Pacific Trading (Mixue),"['IT Management', 'Leadership', 'Strategic Planning', 'Project Management']",< 1 Tahun,S2/S3
J-0075,Senior Azure Engineer  (Entra ID),Software Development,Avanade Malaysia Sdn Bhd,"['Azure', 'API', 'Troubleshooting']",> 5 Tahun,S1/D4
J-0076,Fullstack Software Developer with QA-Experience,Web Development,PPMC,"['CSS', 'Next.js', 'Tailwind', 'Node.js', 'AWS', 'GitHub', 'CI/CD', 'PostgreSQL', 'Agile', 'QA']",1 - 3 Tahun,S1/D4
J-0077,IOS Developer,Mobile Development,PT Adi Data Informatika,"['Swift', 'UI/UX']",< 1 Tahun,S1/D4
J-0078,Senior SAP Consultant (FICO),ERP & Enterprise,PT. HAND Solutions Indonesia,['Go'],3 - 5 Tahun,S1/D4
J-0079,DevOps Engineer  **Work from Home**,DevOps & Cloud,Gank Pte. Ltd.,"['AWS', 'CI/CD', 'Agile']",1 - 3 Tahun,S1/D4
J-0080,Quality Assurance Engineer (Non IT),Quality Assurance,PT Technomed Asia,['QA'],> 5 Tahun,S1/D4
J-0081,Presales IT Security,Sales & Business Development,Cyber Sinergi Indonesia,"['IT Support', 'Troubleshooting', 'Hardware', 'Networking']",> 5 Tahun,S1/D4
J-0082,SAP Functional Supervisor,ERP & Enterprise,PT Yupi Indo Jelly Gum,"['Business Analysis', 'Requirements Gathering', 'SQL']",1 - 3 Tahun,S1/D4
J-0083,Senior SAP PP Consultant,ERP & Enterprise,PT. HAND Solutions Indonesia,['Go'],3 - 5 Tahun,S1/D4
J-0084,Data Engineering,Data Engineering,PT Bina Artha Ventura,"['SQL', 'AWS', 'Azure', 'GCP', 'MySQL', 'PostgreSQL', 'Oracle', 'Agile', 'Troubleshooting', 'QA']",< 1 Tahun,S1/D4
J-0085,AI Software Developer,Software Development,PT Triyakom,"['Python', 'Java', 'Go', 'Node.js', 'Git', 'API', 'Machine Learning', 'LLM', 'Agile']",1 - 3 Tahun,S1/D4
J-0086,"AI Automation Engineer (n8n, Integrasi API, LLM, AI Ops)",Software Development,Floothink 360 Digital Agency,"['Python', 'JavaScript', 'API', 'JSON', 'LLM', 'Prompt Engineering']",1 - 3 Tahun,S1/D4
J-0087,Cyber Security,Cyber Security,"PT Tower Bersama Infrastructure, Tbk",['Penetration Testing'],3 - 5 Tahun,S1/D4
J-0088,Application Developer & System Analyst,Software Development,PT Sahabat Inti Solusindo,"['SQL', 'Java', 'JavaScript', 'API', 'JSON', 'Troubleshooting']",1 - 3 Tahun,S1/D4
J-0089,Website Specialist (WordPress & AI-Driven),Software Development,PT Artadia Kreasi Global,"['JavaScript', 'HTML', 'CSS', 'PHP', 'MySQL', 'Data Analysis']",3 - 5 Tahun,SMA/SMK
J-0090,Digital Product Owner (Life Insurance),Product Management,"PT ZURICH ASURANSI INDONESIA, Tbk","['Figma', 'User Research', 'Agile']",1 - 3 Tahun,S1/D4
J-0091,Systems / Automation Operator,Software Development,PT. Atrahdis Idea Nusantara,"['IT Support', 'Troubleshooting', 'Hardware', 'Networking']",1 - 3 Tahun,S1/D4
J-0092,IT Helpdesk Engineer (Mandarin Speaker),IT Support & Infrastructure,PT Langit Metal Industry,['Troubleshooting'],< 1 Tahun,S1/D4
J-0093,Product Supervisor (Mandarin Speaker),Software Development,PT Idana Solusi Sejahtera,"['Prototyping', 'User Research', 'Data Analysis']",1 - 3 Tahun,S1/D4
J-0094,iOS Developer,Mobile Development,PT Phillip Sekuritas Indonesia,"['Swift', 'Git', 'GitHub', 'GitLab', 'JSON']",1 - 3 Tahun,S1/D4
J-0095,Middle IOT Engineer,Software Development,PT Fan Integrasi Teknologi,"['Python', 'Node.js', 'Troubleshooting']",1 - 3 Tahun,S1/D4
J-0096,Software Developer (Python/Django),Web Development,PT Mindo Small Business Solutions,"['Python', 'JavaScript', 'HTML', 'CSS', 'React', 'Vue', 'Tailwind', 'Django', 'Flask', 'FastAPI', 'AWS', 'Azure', 'Docker', 'CI/CD', 'PostgreSQL']",< 1 Tahun,S2/S3
J-0097,Cyber Security Onsite Engineer,Cyber Security,PT. Magnus Sedaya Selaras,['Cyber Security'],1 - 3 Tahun,S1/D4
J-0098,Presales Support Jr.,Sales & Business Development,"PT. Metrodata Electronics, Tbk","['B2B Sales', 'Solution Selling', 'Presentation', 'System Architecture']",< 1 Tahun,S1/D4
J-0099,Senior Oracle Fusion Consultant,Software Development,PT. HAND Solutions Indonesia,['Oracle'],> 5 Tahun,S1/D4
J-0100,Performance Tester (Jmeter),Software Development,PT Adi Data Informatika,"['SQL', 'Java', 'Oracle']",< 1 Tahun,S1/D4
J-0101,"Governance, Risk & Compliance (GRC) Manager",Software Development,Orang Tua Group,"['AWS', 'Azure', 'GCP', 'Penetration Testing']",3 - 5 Tahun,S2/S3
J-0102,Mobile Apps Developer (Flutter),Mobile Development,"PT SMART,Tbk","['Python', 'JavaScript', 'React', 'Vue', 'Angular', 'Flutter', 'Node.js']",3 - 5 Tahun,S2/S3
J-0103,Data Center Project Manager,Project Management,Microsoft,['Azure'],> 5 Tahun,S1/D4
J-0104,Data Engineer,Data Engineering,PT Indocyber Global Teknologi,"['Python', 'AWS', 'Azure', 'Data Engineering', 'Tableau', 'Unity']",> 5 Tahun,S2/S3
J-0105,IT Mandarin–Indonesian Translator,Software Development,PT Sangkuriang Internasional,"['Generative AI', 'LLM']",1 - 3 Tahun,S1/D4
J-0106,Associate Software Engineer (Fresh Grad Encourage To Apply),Software Development,B2BE GSS Sdn Bhd,['Python'],Belum ada pengalaman,S1/D4
J-0107,IT Supervisor BILINGUAL (Indonesia + Mandarin),Software Development,PT Asia Palm Oleo Jaya,['Troubleshooting'],1 - 3 Tahun,S1/D4
J-0108,IT Support (Mandarin Speaker),IT Support & Infrastructure,PT CCEPC ENVIRONMENT PROTECTION AND ENERGY COMPREHENSIVE UTILIZATION INDONESIA,['Networking'],Belum ada pengalaman,S1/D4
J-0109,Senior Azure Cloud Engineer,DevOps & Cloud,AVANADE ASIA PTE LTD,"['Azure', 'CI/CD', 'Networking']",3 - 5 Tahun,Bootcamp/Sertifikasi
J-0110,DATABASE ENGINEER,Software Development,PT Gamma Persada Sinergi,['Oracle'],1 - 3 Tahun,Bootcamp/Sertifikasi
J-0111,SAP Fungsional Expret,ERP & Enterprise,PT Nauticus Global Services,"['Business Analysis', 'Requirements Gathering', 'SQL']",> 5 Tahun,S1/D4
J-0112,IT Telecomm Enginnering,Software Development,PT Masmindo Dwi Area,"['Cisco', 'CCNA']",3 - 5 Tahun,S1/D4
J-0113,Head of Application Architect,Software Development,Yayasan Bina Nusantara,['Java'],1 - 3 Tahun,S2/S3
J-0114,Technical Specialist D365 BC,ERP & Enterprise,PT Importa Jaya Abadi,"['SQL', 'API', 'Troubleshooting']",1 - 3 Tahun,S1/D4
J-0115,Technical Implementor,Software Development,PT Pratesis,"['Go', 'QA']",< 1 Tahun,S1/D4
J-0116,Cyber Security Operation Advance - Layer 3,Cyber Security,PT XYNEXIS INTERNATIONAL,"['Cyber Security', 'Penetration Testing']",3 - 5 Tahun,S1/D4
J-0117,Business Central Consultant (D365 Business Central - Technical/Functional),ERP & Enterprise,Cartrack Technologies Indonesia,"['SQL', 'JavaScript', 'Power BI', 'Troubleshooting']",> 5 Tahun,S1/D4
J-0118,Apps Innovation Specialist Sr. Staff,Software Development,PT Intikom Berlian Mustika,"['Software Development', 'SQL', 'Git', 'API']",1 - 3 Tahun,S1/D4
J-0119,ERP Developer (Odoo),ERP & Enterprise,AGRO BOGA UTAMA GROUP,"['Python', 'JavaScript', 'PostgreSQL', 'API', 'JSON', 'Troubleshooting']",1 - 3 Tahun,S1/D4
J-0120,Enterprise Network Engineer,ERP & Enterprise,PT Intikom Berlian Mustika,"['Networking', 'Cisco', 'Routing', 'Switching', 'CCNA', 'Troubleshooting']",1 - 3 Tahun,S1/D4
J-0121,IT Support,IT Support & Infrastructure,PT Gading Murni (Head Office),['Troubleshooting'],1 - 3 Tahun,SMA/SMK
J-0122,SAP ABAP,ERP & Enterprise,PT Nawa Data Solutions,"['Business Analysis', 'Requirements Gathering', 'SQL']",1 - 3 Tahun,S1/D4
J-0123,Middleware Junior & Middle,Software Development,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),['API'],> 5 Tahun,S1/D4
J-0124,Active Directory Engineer,Software Development,"PT. Metrodata Electronics, Tbk","['SQL', 'Azure', 'API', 'Troubleshooting']",> 5 Tahun,S2/S3
J-0125,Technical Sales Engineer,Sales & Business Development,PT. Solusi Visindo Teknologi,"['B2B Sales', 'Solution Selling', 'Presentation', 'System Architecture']",1 - 3 Tahun,S1/D4
J-0126,Middleware Junior & Middle,Software Development,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),['API'],> 5 Tahun,S1/D4
J-0127,Digital Apps Developer (Blockchain),Software Development,"PT SMART,Tbk",['Python'],3 - 5 Tahun,S2/S3
J-0128,"Account Manager - IT Solutions Company - (Firewall, Security, Cloud, Network)",Software Development,PT Adecco Personnel Indonesia,['Cisco'],1 - 3 Tahun,S2/S3
J-0129,Network Support Engineer,Software Development,Jasnikom Gemanusa,"['Networking', 'Excel', 'Troubleshooting']",1 - 3 Tahun,S1/D4
J-0130,Presales Specialist,Sales & Business Development,MEDIATEK SOLUSINDO,['Cyber Security'],> 5 Tahun,S1/D4
J-0131,Data Engineer,Data Engineering,Dorskin_id,"['Python', 'SQL', 'API']",< 1 Tahun,S1/D4
J-0132,Senior Database Administrator,Software Development,Yayasan Bina Nusantara,"['SQL', 'Oracle']",1 - 3 Tahun,S1/D4
J-0133,Enterprise Application Presales,ERP & Enterprise,PT Intikom Berlian Mustika,"['B2B Sales', 'Solution Selling', 'Presentation', 'System Architecture']",1 - 3 Tahun,S1/D4
J-0134,"Lead Technical Consultant (MS Dynamics CRM, Power Platforms)",ERP & Enterprise,Avanade Malaysia Sdn Bhd,"['Azure', 'GitHub', 'CI/CD', 'Troubleshooting']",> 5 Tahun,S1/D4
J-0135,DevSecOps Engineer – Container Security (Project-Based),Software Development,PT Citra Multi Services,"['Linux', 'Docker', 'Kubernetes', 'GitHub', 'GitLab', 'CI/CD', 'Jenkins', 'Networking']",1 - 3 Tahun,S1/D4
J-0136,Technical Consultant Assc.,Software Development,"PT. Metrodata Electronics, Tbk","['B2B Sales', 'Solution Selling', 'Presentation', 'System Architecture']",3 - 5 Tahun,S1/D4
J-0137,Data Engineer,Data Engineering,PT IDStar Cipta Teknologi,"['SQL', 'GCP', 'JSON', 'Data Engineering']",1 - 3 Tahun,S1/D4
J-0138,SAP ABAP Developer - Global IT Consulting Company,ERP & Enterprise,PT Adecco Personnel Indonesia,"['SQL', 'Oracle']",> 5 Tahun,S1/D4
J-0139,Product Designer & Development Manager,UI/UX Design,PT IGP Internasional,['Sketch'],3 - 5 Tahun,S1/D4
J-0140,Senior Data Architect,Software Development,Yayasan Bina Nusantara,['SQL'],1 - 3 Tahun,S2/S3
J-0141,Jr Quality Assurance (Automation),Quality Assurance,PT Adi Data Informatika,['QA'],Belum ada pengalaman,Bootcamp/Sertifikasi
J-0142,Site Reliability Engineer,DevOps & Cloud,PT Akulaku Silvrr Indonesia,"['Linux', 'AWS', 'GCP', 'Docker', 'Kubernetes', 'CI/CD', 'Jenkins', 'Networking']",1 - 3 Tahun,S1/D4
J-0143,"Salesforce Data Analysis Manager, APAC",Data Analytics,LIXIL INTERNATIONAL (Korn Ferry),"['Go', 'Data Analysis', 'Tableau']",> 5 Tahun,S2/S3
J-0144,IT Security Analyst,Cyber Security,PT Indomobil Finance Indonesia,"['IT Support', 'Troubleshooting', 'Hardware', 'Networking']",1 - 3 Tahun,S1/D4
J-0145,DevOps Engineer,DevOps & Cloud,PT Hydrax Teknologi Indonesia,"['Linux', 'AWS', 'GCP', 'GitHub', 'CI/CD', 'Networking']",1 - 3 Tahun,S1/D4
J-0146,IT Technical SAP FICO - Manufacturing - Cikarang (B-123591),ERP & Enterprise,RGF HR Agent Indonesia,['Oracle'],1 - 3 Tahun,S1/D4
J-0147,Fraud Security Researcher,Software Development,PT Akulaku Silvrr Indonesia,['LLM'],< 1 Tahun,S2/S3
J-0148,QC Recondition (Cibinong),Software Development,PT. Elabram Systems,['Excel'],1 - 3 Tahun,S1/D4
J-0149,IT Dynamics 365 Business Central (Outsource Contract),ERP & Enterprise,PT Morula Indonesia,"['Azure', 'API', 'Power BI', 'Troubleshooting']",3 - 5 Tahun,S1/D4
J-0150,Scrum Master,Project Management,Steradian Data Optima,"['Agile', 'Scrum']",1 - 3 Tahun,Bootcamp/Sertifikasi
J-0151,Senior Technical Support Engineer（Indonesia）,IT Support & Infrastructure,PT Tencent Technology Indonesia,"['Python', 'Go', 'Linux', 'Kubernetes', 'Oracle', 'Troubleshooting']",1 - 3 Tahun,S1/D4
J-0152,Data Engineering Assistant Manager,Data Engineering,Perusahaan Dirahasiakan,"['Python', 'SQL', 'Java', 'AWS', 'Data Engineering', 'Tableau', 'Agile', 'Scrum']",1 - 3 Tahun,S2/S3
J-0153,Product Manager,Product Management,VIA.com,"['API', 'Agile', 'Scrum', 'QA']",> 5 Tahun,S2/S3
J-0154,Site Reliability Engineer,DevOps & Cloud,PT Ako Media Asia,"['Go', 'React', 'Angular', 'Node.js', 'Linux', 'AWS', 'GitLab', 'CI/CD', 'Networking', 'MySQL', 'PostgreSQL', 'Redis', 'Troubleshooting']",1 - 3 Tahun,S1/D4
J-0155,"Software Engineer, Fullstack - Insurance",Web Development,PT Solusi Transportasi Indonesia,"['Java', 'Go', 'Git', 'MySQL', 'PostgreSQL', 'Oracle', 'Excel']",> 5 Tahun,S1/D4
J-0156,IT Staff (Networking) - PT Jingxing Weiss Indonesia,Software Development,Perusahaan Dirahasiakan,"['Java', 'Networking', 'Cisco', 'Troubleshooting']",< 1 Tahun,S1/D4
J-0157,Cloud Infrastructure (Junior),Software Development,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"['AWS', 'Azure', 'Docker', 'Kubernetes', 'CI/CD', 'Jenkins']",> 5 Tahun,S1/D4
J-0158,Backend Developer (Golang),Web Development,PT Ako Media Asia,"['SQL', 'Java', 'Go', 'Spring', 'AWS', 'Azure', 'Docker', 'Git', 'MySQL']",1 - 3 Tahun,S1/D4
J-0159,Full Stack Developer (Team Lead),Web Development,PT Oyika Energi Indonesia,"['React', 'Next.js', 'Node.js', 'AWS', 'Docker', 'CI/CD', 'MySQL', 'PostgreSQL', 'MongoDB']",3 - 5 Tahun,S1/D4
J-0160,Pre-Sales Staff,Software Development,PT Silikon Digital Indonesia,"['B2B Sales', 'Solution Selling', 'Presentation', 'System Architecture']",< 1 Tahun,S1/D4
J-0161,Security Engineer,Software Development,PT Karya Solusi Prima Sejahtera,"['Linux', 'CCNA', 'Troubleshooting']",1 - 3 Tahun,S1/D4
