date_recorded,job_domain,skill_name,demand_count,is_synthetic
2013-03-31,Cyber Security,Penetration Testing,26,1
2013-03-31,Cyber Security,SIEM,30,1
2013-03-31,Cyber Security,Incident Response,36,1
2013-03-31,Cyber Security,Compliance,43,1
2013-03-31,Cyber Security,Security,49,1
2013-04-30,Cyber Security,Linux,30,1
2013-04-30,Cyber Security,Network Security,27,1
2013-04-30,Cyber Security,Penetration Testing,28,1
2013-04-30,Cyber Security,SIEM,32,1
2013-04-30,Cyber Security,Incident Response,39,1
2013-04-30,Cyber Security,Compliance,46,1
2013-04-30,Cyber Security,Security,52,1
2013-05-31,Cyber Security,Linux,29,1
2013-05-31,Cyber Security,Network Security,27,1
2013-05-31,Cyber Security,Penetration Testing,29,1
2013-05-31,Cyber Security,SIEM,34,1
2013-05-31,Cyber Security,Incident Response,41,1
2013-05-31,Cyber Security,Compliance,48,1
2013-05-31,Cyber Security,Security,54,1
2013-06-30,Cyber Security,Linux,28,1
2013-06-30,Cyber Security,Network Security,27,1
2013-06-30,Cyber Security,Penetration Testing,29,1
2013-06-30,Cyber Security,SIEM,35,1
2013-06-30,Cyber Security,Incident Response,42,1
2013-06-30,Cyber Security,Compliance,49,1
2013-06-30,Cyber Security,Security,54,1
2013-07-31,Cyber Security,Linux,27,1
2013-07-31,Cyber Security,Network Security,27,1
2013-07-31,Cyber Security,Penetration Testing,30,1
2013-07-31,Cyber Security,SIEM,35,1
2013-07-31,Cyber Security,Incident Response,42,1
2013-07-31,Cyber Security,Compliance,49,1
2013-07-31,Cyber Security,Security,53,1
2013-08-31,Cyber Security,Linux,26,1
2013-08-31,Cyber Security,Network Security,26,1
2013-08-31,Cyber Security,Penetration Testing,30,1
2013-08-31,Cyber Security,SIEM,35,1
2013-08-31,Cyber Security,Incident Response,42,1
2013-08-31,Cyber Security,Compliance,48,1
2013-08-31,Cyber Security,Security,52,1
2013-09-30,Cyber Security,Linux,24,1
2013-09-30,Cyber Security,Network Security,25,1
2013-09-30,Cyber Security,Penetration Testing,29,1
2013-09-30,Cyber Security,SIEM,35,1
2013-09-30,Cyber Security,Incident Response,41,1
2013-09-30,Cyber Security,Compliance,47,1
2013-09-30,Cyber Security,Security,50,1
2013-10-31,Cyber Security,Linux,23,1
2013-10-31,Cyber Security,Network Security,25,1
2013-10-31,Cyber Security,Penetration Testing,29,1
2013-10-31,Cyber Security,SIEM,35,1
2013-10-31,Cyber Security,Incident Response,41,1
2013-10-31,Cyber Security,Compliance,46,1
2013-10-31,Cyber Security,Security,49,1
2013-11-30,Cyber Security,Linux,23,1
2013-11-30,Cyber Security,Network Security,25,1
2013-11-30,Cyber Security,Penetration Testing,30,1
2013-11-30,Cyber Security,SIEM,35,1
2013-11-30,Cyber Security,Incident Response,41,1
2013-11-30,Cyber Security,Compliance,46,1
2013-11-30,Cyber Security,Security,47,1
2013-12-31,Cyber Security,Linux,23,1
2013-12-31,Cyber Security,Network Security,26,1
2013-12-31,Cyber Security,Penetration Testing,31,1
2013-12-31,Cyber Security,SIEM,37,1
2013-12-31,Cyber Security,Incident Response,43,1
2013-12-31,Cyber Security,Compliance,46,1
2013-12-31,Cyber Security,Security,47,1
2014-01-31,Cyber Security,Linux,23,1
2014-01-31,Cyber Security,Network Security,26,1
2014-01-31,Cyber Security,Penetration Testing,32,1
2014-01-31,Cyber Security,SIEM,38,1
2014-01-31,Cyber Security,Incident Response,43,1
2014-01-31,Cyber Security,Compliance,46,1
2014-01-31,Cyber Security,Security,47,1
2014-02-28,Cyber Security,Linux,23,1
2014-02-28,Cyber Security,Network Security,27,1
2014-02-28,Cyber Security,Penetration Testing,32,1
2014-02-28,Cyber Security,SIEM,38,1
2014-02-28,Cyber Security,Incident Response,43,1
2014-02-28,Cyber Security,Compliance,45,1
2014-02-28,Cyber Security,Security,45,1
2014-03-31,Cyber Security,Linux,25,1
2014-03-31,Cyber Security,Network Security,29,1
2014-03-31,Cyber Security,Penetration Testing,35,1
2014-03-31,Cyber Security,SIEM,41,1
2014-03-31,Cyber Security,Incident Response,46,1
2014-03-31,Cyber Security,Compliance,48,1
2014-03-31,Cyber Security,Security,47,1
2014-04-30,Cyber Security,Linux,26,1
2014-04-30,Cyber Security,Network Security,30,1
2014-04-30,Cyber Security,Penetration Testing,36,1
2014-04-30,Cyber Security,SIEM,42,1
2014-04-30,Cyber Security,Incident Response,47,1
2014-04-30,Cyber Security,Compliance,48,1
2014-04-30,Cyber Security,Security,47,1
2014-05-31,Cyber Security,Linux,27,1
2014-05-31,Cyber Security,Network Security,32,1
2014-05-31,Cyber Security,Penetration Testing,38,1
2014-05-31,Cyber Security,SIEM,44,1
2014-05-31,Cyber Security,Incident Response,47,1
2014-05-31,Cyber Security,Compliance,48,1
2014-05-31,Cyber Security,Security,46,1
2014-06-30,Cyber Security,Linux,28,1
2014-06-30,Cyber Security,Network Security,34,1
2014-06-30,Cyber Security,Penetration Testing,40,1
2014-06-30,Cyber Security,SIEM,45,1
2014-06-30,Cyber Security,Incident Response,49,1
2014-06-30,Cyber Security,Compliance,49,1
2014-06-30,Cyber Security,Security,46,1
2014-07-31,Cyber Security,Linux,29,1
2014-07-31,Cyber Security,Network Security,35,1
2014-07-31,Cyber Security,Penetration Testing,41,1
2014-07-31,Cyber Security,SIEM,46,1
2014-07-31,Cyber Security,Incident Response,49,1
2014-07-31,Cyber Security,Compliance,49,1
2014-07-31,Cyber Security,Security,45,1
2014-08-31,Cyber Security,Linux,29,1
2014-08-31,Cyber Security,Network Security,35,1
2014-08-31,Cyber Security,Penetration Testing,41,1
2014-08-31,Cyber Security,SIEM,46,1
2014-08-31,Cyber Security,Incident Response,48,1
2014-08-31,Cyber Security,Compliance,47,1
2014-08-31,Cyber Security,Security,43,1
2014-09-30,Cyber Security,Linux,29,1
2014-09-30,Cyber Security,Network Security,35,1
2014-09-30,Cyber Security,Penetration Testing,40,1
2014-09-30,Cyber Security,SIEM,44,1
2014-09-30,Cyber Security,Incident Response,46,1
2014-09-30,Cyber Security,Compliance,44,1
2014-09-30,Cyber Security,Security,40,1
2014-10-31,Cyber Security,Linux,30,1
2014-10-31,Cyber Security,Network Security,35,1
2014-10-31,Cyber Security,Penetration Testing,41,1
2014-10-31,Cyber Security,SIEM,44,1
2014-10-31,Cyber Security,Incident Response,45,1
2014-10-31,Cyber Security,Compliance,43,1
2014-10-31,Cyber Security,Security,38,1
2014-11-30,Cyber Security,Linux,31,1
2014-11-30,Cyber Security,Network Security,36,1
2014-11-30,Cyber Security,Penetration Testing,41,1
2014-11-30,Cyber Security,SIEM,44,1
2014-11-30,Cyber Security,Incident Response,44,1
2014-11-30,Cyber Security,Compliance,42,1
2014-11-30,Cyber Security,Security,37,1
2014-12-31,Cyber Security,Linux,32,1
2014-12-31,Cyber Security,Network Security,38,1
2014-12-31,Cyber Security,Penetration Testing,42,1
2014-12-31,Cyber Security,SIEM,45,1
2014-12-31,Cyber Security,Incident Response,44,1
2014-12-31,Cyber Security,Compliance,41,1
2014-12-31,Cyber Security,Security,36,1
2015-01-31,Cyber Security,Linux,33,1
2015-01-31,Cyber Security,Network Security,38,1
2015-01-31,Cyber Security,Penetration Testing,43,1
2015-01-31,Cyber Security,SIEM,44,1
2015-01-31,Cyber Security,Incident Response,43,1
2015-01-31,Cyber Security,Compliance,40,1
2015-01-31,Cyber Security,Security,35,1
2015-02-28,Cyber Security,Linux,35,1
2015-02-28,Cyber Security,Network Security,41,1
2015-02-28,Cyber Security,Penetration Testing,45,1
2015-02-28,Cyber Security,SIEM,46,1
2015-02-28,Cyber Security,Incident Response,44,1
2015-02-28,Cyber Security,Compliance,40,1
2015-02-28,Cyber Security,Security,34,1
2015-03-31,Cyber Security,Linux,37,1
2015-03-31,Cyber Security,Network Security,43,1
2015-03-31,Cyber Security,Penetration Testing,46,1
2015-03-31,Cyber Security,SIEM,47,1
2015-03-31,Cyber Security,Incident Response,44,1
2015-03-31,Cyber Security,Compliance,40,1
2015-03-31,Cyber Security,Security,34,1
2015-04-30,Cyber Security,Linux,40,1
2015-04-30,Cyber Security,Network Security,45,1
2015-04-30,Cyber Security,Penetration Testing,48,1
2015-04-30,Cyber Security,SIEM,48,1
2015-04-30,Cyber Security,Incident Response,45,1
2015-04-30,Cyber Security,Compliance,40,1
2015-04-30,Cyber Security,Security,34,1
2015-05-31,Cyber Security,Linux,44,1
2015-05-31,Cyber Security,Network Security,49,1
2015-05-31,Cyber Security,Penetration Testing,51,1
2015-05-31,Cyber Security,SIEM,51,1
2015-05-31,Cyber Security,Incident Response,47,1
2015-05-31,Cyber Security,Compliance,41,1
2015-05-31,Cyber Security,Security,35,1
2015-06-30,Cyber Security,Linux,46,1
2015-06-30,Cyber Security,Network Security,51,1
2015-06-30,Cyber Security,Penetration Testing,53,1
2015-06-30,Cyber Security,SIEM,52,1
2015-06-30,Cyber Security,Incident Response,47,1
2015-06-30,Cyber Security,Compliance,41,1
2015-06-30,Cyber Security,Security,34,1
2015-07-31,Cyber Security,Linux,47,1
2015-07-31,Cyber Security,Network Security,51,1
2015-07-31,Cyber Security,Penetration Testing,52,1
2015-07-31,Cyber Security,SIEM,50,1
2015-07-31,Cyber Security,Incident Response,46,1
2015-07-31,Cyber Security,Compliance,39,1
2015-07-31,Cyber Security,Security,33,1
2015-08-31,Cyber Security,Linux,49,1
2015-08-31,Cyber Security,Network Security,53,1
2015-08-31,Cyber Security,Penetration Testing,53,1
2015-08-31,Cyber Security,SIEM,50,1
2015-08-31,Cyber Security,Incident Response,45,1
2015-08-31,Cyber Security,Compliance,38,1
2015-08-31,Cyber Security,Security,32,1
2015-09-30,Cyber Security,Linux,49,1
2015-09-30,Cyber Security,Network Security,52,1
2015-09-30,Cyber Security,Penetration Testing,52,1
2015-09-30,Cyber Security,SIEM,49,1
2015-09-30,Cyber Security,Incident Response,43,1
2015-09-30,Cyber Security,Compliance,36,1
2015-09-30,Cyber Security,Security,30,1
2015-10-31,Cyber Security,Linux,49,1
2015-10-31,Cyber Security,Network Security,51,1
2015-10-31,Cyber Security,Penetration Testing,51,1
2015-10-31,Cyber Security,SIEM,47,1
2015-10-31,Cyber Security,Incident Response,41,1
2015-10-31,Cyber Security,Compliance,34,1
2015-10-31,Cyber Security,Security,29,1
2015-11-30,Cyber Security,Linux,51,1
2015-11-30,Cyber Security,Network Security,53,1
2015-11-30,Cyber Security,Penetration Testing,51,1
2015-11-30,Cyber Security,SIEM,47,1
2015-11-30,Cyber Security,Incident Response,40,1
2015-11-30,Cyber Security,Compliance,34,1
2015-11-30,Cyber Security,Security,28,1
2015-12-31,Cyber Security,Linux,53,1
2015-12-31,Cyber Security,Network Security,54,1
2015-12-31,Cyber Security,Penetration Testing,52,1
2015-12-31,Cyber Security,SIEM,47,1
2015-12-31,Cyber Security,Incident Response,40,1
2015-12-31,Cyber Security,Compliance,33,1
2015-12-31,Cyber Security,Security,28,1
2016-01-31,Cyber Security,Linux,54,1
2016-01-31,Cyber Security,Network Security,55,1
2016-01-31,Cyber Security,Penetration Testing,52,1
2016-01-31,Cyber Security,SIEM,46,1
2016-01-31,Cyber Security,Incident Response,39,1
2016-01-31,Cyber Security,Compliance,32,1
2016-01-31,Cyber Security,Security,28,1
2016-02-29,Cyber Security,Linux,59,1
2016-02-29,Cyber Security,Network Security,58,1
2016-02-29,Cyber Security,Penetration Testing,54,1
2016-02-29,Cyber Security,SIEM,48,1
2016-02-29,Cyber Security,Incident Response,40,1
2016-02-29,Cyber Security,Compliance,34,1
2016-02-29,Cyber Security,Security,29,1
2016-03-31,Cyber Security,Linux,58,1
2016-03-31,Cyber Security,Network Security,57,1
2016-03-31,Cyber Security,Penetration Testing,53,1
2016-03-31,Cyber Security,SIEM,46,1
2016-03-31,Cyber Security,Incident Response,38,1
2016-03-31,Cyber Security,Compliance,32,1
2016-03-31,Cyber Security,Security,29,1
2016-04-30,Cyber Security,Linux,65,1
2016-04-30,Cyber Security,Network Security,63,1
2016-04-30,Cyber Security,Penetration Testing,57,1
2016-04-30,Cyber Security,SIEM,49,1
2016-04-30,Cyber Security,Incident Response,41,1
2016-04-30,Cyber Security,Compliance,35,1
2016-04-30,Cyber Security,Security,31,1
2016-05-31,Cyber Security,Linux,67,1
2016-05-31,Cyber Security,Network Security,64,1
2016-05-31,Cyber Security,Penetration Testing,57,1
2016-05-31,Cyber Security,SIEM,49,1
2016-05-31,Cyber Security,Incident Response,41,1
2016-05-31,Cyber Security,Compliance,35,1
2016-05-31,Cyber Security,Security,32,1
2016-06-30,Cyber Security,Linux,69,1
2016-06-30,Cyber Security,Network Security,65,1
2016-06-30,Cyber Security,Penetration Testing,58,1
2016-06-30,Cyber Security,SIEM,49,1
2016-06-30,Cyber Security,Incident Response,40,1
2016-06-30,Cyber Security,Compliance,35,1
2016-06-30,Cyber Security,Security,33,1
2016-07-31,Cyber Security,Linux,70,1
2016-07-31,Cyber Security,Network Security,65,1
2016-07-31,Cyber Security,Penetration Testing,57,1
2016-07-31,Cyber Security,SIEM,48,1
2016-07-31,Cyber Security,Incident Response,40,1
2016-07-31,Cyber Security,Compliance,35,1
2016-07-31,Cyber Security,Security,35,1
2016-08-31,Cyber Security,Linux,68,1
2016-08-31,Cyber Security,Network Security,63,1
2016-08-31,Cyber Security,Penetration Testing,54,1
2016-08-31,Cyber Security,SIEM,45,1
2016-08-31,Cyber Security,Incident Response,38,1
2016-08-31,Cyber Security,Compliance,34,1
2016-08-31,Cyber Security,Security,34,1
2016-09-30,Cyber Security,Linux,69,1
2016-09-30,Cyber Security,Network Security,63,1
2016-09-30,Cyber Security,Penetration Testing,54,1
2016-09-30,Cyber Security,SIEM,45,1
2016-09-30,Cyber Security,Incident Response,38,1
2016-09-30,Cyber Security,Compliance,35,1
2016-09-30,Cyber Security,Security,36,1
2016-10-31,Cyber Security,Linux,69,1
2016-10-31,Cyber Security,Network Security,62,1
2016-10-31,Cyber Security,Penetration Testing,53,1
2016-10-31,Cyber Security,SIEM,44,1
2016-10-31,Cyber Security,Incident Response,37,1
2016-10-31,Cyber Security,Compliance,35,1
2016-10-31,Cyber Security,Security,37,1
2016-11-30,Cyber Security,Linux,70,1
2016-11-30,Cyber Security,Network Security,62,1
2016-11-30,Cyber Security,Penetration Testing,52,1
2016-11-30,Cyber Security,SIEM,43,1
2016-11-30,Cyber Security,Incident Response,37,1
2016-11-30,Cyber Security,Compliance,36,1
2016-11-30,Cyber Security,Security,39,1
2016-12-31,Cyber Security,Linux,67,1
2016-12-31,Cyber Security,Network Security,59,1
2016-12-31,Cyber Security,Penetration Testing,50,1
2016-12-31,Cyber Security,SIEM,41,1
2016-12-31,Cyber Security,Incident Response,36,1
2016-12-31,Cyber Security,Compliance,36,1
2016-12-31,Cyber Security,Security,40,1
2017-01-31,Cyber Security,Linux,68,1
2017-01-31,Cyber Security,Network Security,59,1
2017-01-31,Cyber Security,Penetration Testing,49,1
2017-01-31,Cyber Security,SIEM,41,1
2017-01-31,Cyber Security,Incident Response,37,1
2017-01-31,Cyber Security,Compliance,37,1
2017-01-31,Cyber Security,Security,42,1
2017-02-28,Cyber Security,Linux,69,1
2017-02-28,Cyber Security,Network Security,59,1
2017-02-28,Cyber Security,Penetration Testing,49,1
2017-02-28,Cyber Security,SIEM,42,1
2017-02-28,Cyber Security,Incident Response,38,1
2017-02-28,Cyber Security,Compliance,40,1
2017-02-28,Cyber Security,Security,46,1
